FIPS,State,County,hi_diabetes,hi_obesity,RECFACPTH09,PCT_OBESE_ADULTS08,PCT_DIABETES_ADULTS08,FFRPTH09,FSRPTH09,PC_FFRSALES07,PC_FSRSALES07,PCT_NHWHITE10,PCT_65OLDER10,PCT_18YOUNGER10,PERPOV10,METRO13,POPLOSS10,MEDHHINC15,PCT_LACCESS_POP10,SNAP_PART_RATE08,PCT_NSLP09,PCT_WIC09,PCT_CACFP09,GROCPTH09,WICSPTH08
1001,AL,Autauga,1,1,0.073889351,31.5,11.4,0.55417013,0.628059481,649.5113669582424,484.3815070495379,77.2461563834271,11.995382162687141,26.777958989206724,0,1,0.0,56580.0,33.76965730033296,67,12.315055424970076,2.990416904169891,0.9160899337992502,0.110834026,0.1191564
1003,AL,Baldwin,0,0,0.100331093,26.2,9.8,0.624282354,1.125937817,649.5113669582424,484.3815070495379,83.50478698598195,16.771184813321263,22.987408443749484,0,1,0.0,52387.0,19.318472596371,67,12.315055424970076,2.990416904169891,0.9160899337992502,0.13377479,0.1418746
1005,AL,Barbour,1,1,0.0361572,37.6,13.6,0.759301443,0.433886539,649.5113669582424,484.3815070495379,46.75310485486397,14.236806643114688,21.906981826128128,1,0,0.0,31433.0,20.840971709557856,67,12.315055424970076,2.990416904169891,0.9160899337992502,0.180786058,0.2010993
1007,AL,Bibb,1,1,0.0435901,32.3,11.1,0.305130552,0.261540473,649.5113669582424,484.3815070495379,75.02072878027492,12.68164957451451,22.696923412611827,0,1,0.0,40767.0,4.559752683225005,67,12.315055424970076,2.990416904169891,0.9160899337992502,0.261540473,0.2779193
1009,AL,Blount,1,1,0.0523186,31.9,11.4,0.418548682,0.33135104,649.5113669582424,484.3815070495379,88.88733819475942,14.722096228324203,24.608352813928335,0,1,0.0,50487.0,2.700840094961568,67,12.315055424970076,2.990416904169891,0.9160899337992502,0.104637171,0.1730283
1011,AL,Bullock,1,1,0.0,37.8,14.9,0.364066624,0.182033312,649.5113669582424,484.3815070495379,21.916804104819498,13.459776433938062,22.264980758658602,1,0,0.0,28251.0,37.47465226144493,67,12.315055424970076,2.990416904169891,0.9160899337992502,0.182033312,0.1831334
1013,AL,Butler,1,1,0.0,36.8,15.1,0.814683472,0.910528586,649.5113669582424,484.3815070495379,54.06024729078149,16.65632310116007,24.137107939084355,1,0,1.0,33868.0,6.243470213062348,67,12.315055424970076,2.990416904169891,0.9160899337992502,0.143767671,0.2974567
1015,AL,Calhoun,1,1,0.0591401,33.5,14.5,0.802615682,0.566055271,649.5113669582424,484.3815070495379,73.61350065782815,14.328846607968154,22.877239145835443,0,1,0.0,42091.0,26.061085741273487,67,12.315055424970076,2.990416904169891,0.9160899337992502,0.211214653,0.1939659
1017,AL,Chambers,1,1,0.0581666,35.5,16.1,0.63983248,0.552582597,649.5113669582424,484.3815070495379,58.14116615519509,16.676896098202544,22.51351746310098,0,0,1.0,35560.0,19.722967185782053,67,12.315055424970076,2.990416904169891,0.9160899337992502,0.203583062,0.1740493
1019,AL,Cherokee,1,1,0.0386787,31.5,13.6,0.618859751,0.386787344,649.5113669582424,484.3815070495379,92.07356958713302,17.896032937011814,21.41675324175613,0,0,0.0,39144.0,0.30555325161640307,67,12.315055424970076,2.990416904169891,0.9160899337992502,0.154714938,0.2048089
1021,AL,Chilton,1,1,0.068990893,34.8,10.2,0.528930181,0.390948395,649.5113669582424,484.3815070495379,81.10120752468896,13.566895034713472,25.11284742112137,0,1,0.0,42767.0,3.3377125565412094,67,12.315055424970076,2.990416904169891,0.9160899337992502,0.160978751,0.1639498
